file,class,method,variable,usage
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ecs\TestECSCluster.java,de.widdix.awscftemplates.ecs.TestECSCluster,testDefault/0,ecs,2
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ecs\TestECSCluster.java,de.widdix.awscftemplates.ecs.TestECSCluster,testCostOptimized/0,ecs,2
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest,"waitForStack/3[de.widdix.awscftemplates.Context,java.lang.String,de.widdix.awscftemplates.ACloudFormationTest.FinalStatus]",cf,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest,"deleteStack/2[de.widdix.awscftemplates.Context,java.lang.String]",cf,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest,getStackOutputs/1[java.lang.String],cf,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest,getStackEvents/1[java.lang.String],cf,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest,"updateStack/4[de.widdix.awscftemplates.Context,java.lang.String,java.lang.String,de.widdix.awscftemplates.Parameter[]]",cf,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest,"createStack/4[de.widdix.awscftemplates.Context,java.lang.String,java.lang.String,de.widdix.awscftemplates.Parameter[]]",cf,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Config.java,de.widdix.awscftemplates.Config$Key,"Key/2[java.lang.String,java.lang.String]",defaultValue,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Config.java,de.widdix.awscftemplates.Config$Key,"Key/2[java.lang.String,java.lang.String]",name,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Config.java,de.widdix.awscftemplates.Config$Key,Key/1[java.lang.String],defaultValue,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Config.java,de.widdix.awscftemplates.Config$Key,Key/1[java.lang.String],name,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ATest.java,de.widdix.awscftemplates.ATest$User,"User/3[java.lang.String,byte[],java.lang.String]",sshPublicKeyId,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ATest.java,de.widdix.awscftemplates.ATest$User,"User/3[java.lang.String,byte[],java.lang.String]",sshPrivateKeyBlob,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ATest.java,de.widdix.awscftemplates.ATest$User,"User/3[java.lang.String,byte[],java.lang.String]",userName,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest$FinalStatus,"FinalStatus/4[de.widdix.awscftemplates.StackStatus,boolean,boolean,de.widdix.awscftemplates.StackStatus[]]",finalStatus,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest$FinalStatus,"FinalStatus/4[de.widdix.awscftemplates.StackStatus,boolean,boolean,de.widdix.awscftemplates.StackStatus[]]",notFoundIsFinalStatus,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest$FinalStatus,"FinalStatus/4[de.widdix.awscftemplates.StackStatus,boolean,boolean,de.widdix.awscftemplates.StackStatus[]]",notFoundIsIntermediateStatus,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\ACloudFormationTest.java,de.widdix.awscftemplates.ACloudFormationTest$FinalStatus,"FinalStatus/4[de.widdix.awscftemplates.StackStatus,boolean,boolean,de.widdix.awscftemplates.StackStatus[]]",intermediateStatus,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"getObjectTags/2[java.lang.String,java.lang.String]",s3,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"deleteBucket/2[de.widdix.awscftemplates.Context,java.lang.String]",s3,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,createKey/1[java.lang.String],ec2,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"createObject/3[java.lang.String,java.lang.String,java.lang.String]",s3,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,countBucket/1[java.lang.String],s3,2
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,getAccount/0,sts,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,getDefaultVPC/0,ec2,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,getDefaultSecurityGroup/0,ec2,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"doesObjectExist/2[java.lang.String,java.lang.String]",s3,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"deleteObject/3[de.widdix.awscftemplates.Context,java.lang.String,java.lang.String]",s3,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,createUser/1[java.lang.String],iam,2
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"deleteUser/2[de.widdix.awscftemplates.Context,java.lang.String]",iam,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"createBucket/2[java.lang.String,java.lang.String]",s3,2
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"createObject/5[java.lang.String,java.lang.String,java.io.InputStream,java.lang.String,long]",s3,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"emptyBucket/2[de.widdix.awscftemplates.Context,java.lang.String]",s3,6
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,AAWSTest/0,s3,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,AAWSTest/0,sts,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,AAWSTest/0,iam,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,AAWSTest/0,IAM_SESSION_NAME,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,AAWSTest/0,ec2,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,AAWSTest/0,credentialsProvider,6
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,getDefaultSubnets/0,ec2,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,getCallerIdentityArn/0,sts,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\AAWSTest.java,de.widdix.awscftemplates.AAWSTest,"deleteKey/2[de.widdix.awscftemplates.Context,java.lang.String]",ec2,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Context.java,de.widdix.awscftemplates.Context,addStack/1[java.lang.String],stacks,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Context.java,de.widdix.awscftemplates.Context,reportStackFailure/1[java.lang.String],stacks,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Context.java,de.widdix.awscftemplates.Context,reportStackFailure/1[java.lang.String],failure,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Context.java,de.widdix.awscftemplates.Context,reportFailure/0,failure,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\Context.java,de.widdix.awscftemplates.Context,hasFailure/0,failure,1
